shotEventId,passEventId,passPlayerId,shotTeamId,secondsBeforeShot,startX,startY,endX,endY
2263270260,2263270249,488326,1616,5,75,47,82,70
2263270351,2263270347,240445,1616,9,28,71,45,80
2263270354,2263271903,240445,1616,1,100,100,88,56
2263270451,2263270446,488453,1611,3,46,47,97,32
2263270544,2263270539,243588,1611,2,69,82,86,60
2263270596,2263270594,346139,1611,2,80,28,75,51
2263270619,2263270618,40756,1611,1,76,62,87,66
2263270765,2263270760,346139,1611,1,75,56,77,66
2263270791,2263270790,583656,1611,2,100,100,95,40
2263270875,2263270873,243588,1611,4,70,10,81,36
2263271070,2263271071,240445,1616,1,100,0,91,40
2263271086,2263271085,240445,1616,1,100,0,97,42
2263271108,2263271099,243588,1611,7,37,22,85,14
2263271141,2263271140,346139,1611,2,87,35,78,43
2263271310,2263271304,1712,1616,5,85,82,94,35
2263271300,2263271296,40756,1611,4,49,78,65,77
2263271362,2263271360,243588,1611,5,100,100,94,69
2263271494,2263271492,9624,1616,2,81,19,81,49
2263271517,2263271513,225947,1616,2,66,36,72,33
2263271581,2263271577,447424,1616,1,85,38,85,43
2263271549,2263271545,692543,1611,4,75,74,81,38
2263271669,2263271668,692543,1611,1,87,84,90,62
2263271782,2263271774,488453,1611,7,47,8,74,28
