shotEventId,shotTime,timeSeconds,secondsBeforeShot,passPlayerId,startX,startY,endX,endY
2263270260,07:52,07:47,5,488326,75,47,82,70
2263270351,12:21,12:12,9,240445,28,71,45,80
2263270354,13:11,13:10,1,240445,100,100,88,56
2263270451,19:38,19:35,3,488453,46,47,97,32
2263270544,23:43,23:41,2,243588,69,82,86,60
2263270596,26:21,26:19,2,346139,80,28,75,51
2263270619,28:17,28:16,1,40756,76,62,87,66
2263270765,34:01,34:00,1,346139,75,56,77,66
2263270791,36:23,36:21,2,583656,100,100,95,40
2263270875,41:34,41:30,4,243588,70,10,81,36
2263271070,47:14,47:13,1,240445,100,0,91,40
2263271086,49:09,49:08,1,240445,100,0,97,42
2263271108,52:55,52:48,7,243588,37,22,85,14
2263271141,55:33,55:31,2,346139,87,35,78,43
2263271310,61:33,61:28,5,1712,85,82,94,35
2263271300,65:09,65:05,4,40756,49,78,65,77
2263271362,68:23,68:18,5,243588,100,100,94,69
2263271494,71:04,71:02,2,9624,81,19,81,49
2263271517,71:54,71:52,2,225947,66,36,72,33
2263271581,75:34,75:33,1,447424,85,38,85,43
2263271549,79:32,79:28,4,692543,75,74,81,38
2263271669,86:50,86:49,1,692543,87,84,90,62
2263271782,93:47,93:40,7,488453,47,8,74,28
