player_id,total_minutes_played
47,1713
54,1135
370,3330
1712,1782
3397,2790
4015,894
5910,991
7847,1164
7848,3202
7914,338
7919,1061
7939,1943
7945,2159
7953,1730
8135,363
8136,1397
8140,410
8144,1475
8156,180
8221,83
8240,223
8246,676
8277,995
8286,240
8319,172
8360,997
8392,533
8460,1627
8501,164
8580,450
8582,876
8653,1803
8677,861
8944,210
8945,1372
8955,372
8981,2180
9022,630
9097,2102
9164,392
9206,2970
9380,572
9433,2922
9624,810
9683,352
9956,180
10131,3420
10153,630
11051,780
11066,550
11270,2770
11669,447
12242,2520
12379,164
12829,2827
14705,861
14768,3420
14808,2269
14911,2156
15146,1106
15806,1396
20922,180
21315,731
25418,2267
25486,174
25571,1737
25701,2387
25706,3072
28292,2591
29640,1377
37897,3420
38021,1746
40756,1540
40787,2155
50102,2945
50798,233
51064,394
56262,2830
61941,630
62126,2144
62224,392
69404,2234
70381,423
71654,2321
71703,766
83150,1121
95349,369
104851,900
105333,314
112392,2538
120353,3376
134102,687
134717,2610
136441,1350
136509,137
145787,2673
173214,597
192755,822
192792,3330
213312,193
214220,2510
217031,2819
219526,3276
222220,2516
222770,2904
223794,2272
225947,1888
227085,2610
228946,79
230020,3015
234399,909
237034,1116
237269,2364
239411,1126
240032,2532
240070,1568
240378,3000
240445,2076
241564,576
243588,3026
245996,1139
247248,234
248276,58
249041,970
255738,2316
257899,533
258154,2276
258340,1505
263802,3038
263803,1698
264303,2137
265366,2338
265673,2689
270866,846
274435,426
275780,170
275785,57
281135,30
282267,1241
282877,1036
283145,1460
283147,3420
284302,1894
284992,148
285382,2836
285403,2608
285506,550
286368,2929
286380,1375
286829,1290
286831,2219
288080,1546
288091,780
290954,305
293686,2401
293687,1654
297621,3420
297957,2031
298980,2399
299699,2981
300114,270
301047,2658
302292,2354
302518,3001
303357,232
326547,153
326998,2160
327391,1103
333618,1504
336242,139
337003,2091
339789,1639
340386,662
340706,1191
343098,3
343958,1695
344038,3060
344040,3007
344100,224
344181,894
345621,1270
345829,900
346101,2403
346125,1063
346131,1986
346139,671
346158,1188
346159,1215
347200,1033
347202,163
349099,1285
349142,2856
349687,753
350976,303
351803,754
355937,15
356000,908
358801,2425
359934,1266
361163,966
361807,1685
364003,1746
364860,81
365443,2150
365446,381
365880,1660
366217,848
366720,2684
367622,2299
367922,2257
368225,2002
369314,360
369589,2823
370937,3283
372752,1501
375001,627
376353,818
377071,553
379209,2839
381290,1170
383569,3170
386020,6
386292,881
386328,14
387702,2762
388267,1210
390766,246
393247,2573
396912,1767
397033,2223
397074,3059
397098,531
397163,1722
397174,28
397178,1467
399559,1132
399581,3123
399584,450
399599,2762
400549,2026
400575,1995
402884,2923
403934,1092
404216,1764
404748,112
404756,392
404757,2382
406051,30
406073,3083
412027,2939
412034,2929
412968,1133
413002,2105
413582,1483
415847,1421
415917,2365
415953,977
419213,2004
419219,33
419784,143
420090,2135
421696,2086
422132,2440
423316,284
424241,3330
424806,1921
424949,642
425925,1891
427097,2741
431967,2457
433506,2700
434172,765
443660,434
443740,36
445111,206
446423,1226
446705,1832
447097,101
447195,392
447205,1830
447213,1620
447223,1834
447228,2108
447357,1112
447408,321
447424,3081
447536,767
447773,90
447804,130
447955,1825
447963,1403
448079,2763
448210,1817
448638,891
448645,2813
448687,2880
448708,1852
449240,1289
449472,2947
450826,2245
451472,146
453315,152
454242,2026
454388,3413
460321,988
470680,1676
470819,1788
470834,2641
470978,1201
471064,896
471753,430
472363,2418
474104,2622
475597,417
476345,2388
476382,2539
478618,2476
479155,3420
479831,2005
480608,1011
480781,1618
481911,2640
482177,1156
485406,2344
486252,3157
487034,2622
487061,343
488326,1115
488453,1753
488709,1113
488711,491
491344,3122
491413,3230
491458,2434
496001,3349
496214,2048
496823,2339
499655,1641
500553,1193
501419,1877
503347,125
504249,1015
504375,3117
504579,149
504613,2162
508021,377
508830,107
512982,2620
514484,527
518231,2677
518805,1206
520221,616
520291,1766
520300,784
521457,340
522222,2361
524141,16
524163,2234
525613,2863
525621,18
527201,1566
528194,397
529349,181
532621,358
532749,345
532892,3100
532949,1410
534324,2667
534563,1934
535808,900
535824,3169
535839,861
536067,2082
536494,191
537185,525
540754,1672
540839,494
541598,2613
542200,1020
543793,1513
543873,29
543978,1254
544911,378
545267,1267
546441,540
549485,1586
549884,2838
551442,2647
551497,3200
551573,1252
552926,1220
555939,2339
557406,3210
557788,1175
558243,2594
563725,1032
565016,3125
566474,2567
566728,506
568412,3283
576405,1295
578325,3039
578847,540
579007,915
579022,184
579408,2063
579610,1727
580755,2640
580990,1612
582090,6
583655,1154
583656,1944
584520,768
586585,1929
586894,2467
589075,1107
589103,1703
590703,3116
590781,2968
590874,2620
592655,2756
594120,1584
594968,924
595115,10
595249,2496
596942,3106
598178,2990
599817,1987
600184,2973
600189,1219
600432,738
601998,215
604320,2525
604763,1935
606741,929
607630,212
607944,1999
609113,838
614501,3356
614647,295
616591,498
619725,28
619727,76
619747,3150
619987,853
620468,2206
621113,2211
621262,1528
622113,11
622200,544
622234,3
622236,49
622482,3240
623374,643
623641,1411
625787,1022
627012,3189
627131,474
630651,761
631619,815
633277,2229
635038,444
639248,29
644809,75
645032,63
645877,442
646204,817
648855,19
653138,404
653425,494
653730,504
653894,42
654893,1348
656446,3342
656521,288
656601,1713
656947,2596
657854,880
658308,2929
658798,1921
659056,1470
661732,1808
669602,2246
677949,2068
681063,934
688446,90
689107,216
692543,2269
692544,1701
693147,1
698840,2080
698930,4
698931,59
700018,553
707333,2498
719786,2700
724763,6
729649,602
730424,81
731238,1864
732238,819
732998,1868
735759,539
739094,200
743352,16
745926,1467
745929,978
747910,202
762994,167
764067,38
767039,715
767087,1805
767330,366
769441,1219
769918,334
770402,86
771887,2
776649,14
776849,39
776857,213
777938,2464
779565,1291
781890,154
783644,103
786541,11
790219,11
798323,90
803390,213
807014,594
807765,8
808999,6
809491,1607
810336,590
816274,25
816545,12
818118,38
822917,180
824351,24
824988,299
824994,176
825003,391
825591,37
827867,7
828739,20
832190,14
835236,25
847422,164
850716,22
851151,151
854404,13
854468,5
856213,1921
865755,205
911027,2
911156,80
930030,60
932310,7
933026,184
956089,40
956105,1
961676,80
1046087,6
1050460,152
1137297,12
1151900,90
1186884,53
